frame,average_alive_cells
0,104
1,124
2,108
3,117
4,89
5,95
6,99
7,93
8,100
9,113
10,104
11,96
12,95
13,94
14,99
15,94
16,89
17,93
18,97
19,90
20,98
21,91
22,104
23,82
24,100
25,87
26,93
27,94
28,94
29,97
30,98
31,105
32,109
33,100
34,108
35,102
36,93
37,101
38,92
39,101
40,94
41,99
42,97
43,104
44,103
45,102
46,106
47,91
48,93
49,92
50,97
51,95
52,101
53,90
54,95
55,94
56,94
57,97
58,95
59,92
60,101
61,85
62,89
63,87
64,90
65,94
66,89
67,95
68,90
69,95
70,94
71,90
72,91
73,94
74,93
75,94
76,94
77,91
78,95
79,96
80,95
81,98
82,99
83,104
84,99
85,100
86,101
87,103
88,95
89,94
90,97
91,97
92,97
93,99
94,98
95,101
96,97
97,99
98,106
99,91
100,97
101,102
102,92
103,101
104,99
105,105
106,105
107,105
108,97
109,98
110,107
111,109
112,103
113,103
114,115
115,110
116,106
117,119
118,102
119,111
120,116
121,111
122,111
123,115
124,115
125,123
126,111
127,112
128,119
129,113
130,119
131,111
132,119
133,113
134,117
135,113
136,124
137,113
138,126
139,114
140,119
141,121
142,122
143,115
144,129
145,113
146,118
147,120
148,119
149,123
150,129
151,133
152,120
153,120
154,125
155,125
156,132
157,125
158,128
159,131
160,131
161,137
162,129
163,132
164,131
165,128
166,127
167,132
168,142
169,120
170,120
171,125
172,120
173,124
174,121
175,118
176,121
177,123
178,122
179,130
180,129
181,127
182,130
183,130
184,136
185,123
186,135
187,129
188,129
189,132
190,136
191,132
192,143
193,120
194,126
195,119
196,126
197,118
198,123
199,125
200,128
201,128
202,125
203,130
204,132
205,129
206,125
207,133
208,119
209,127
210,126
211,133
212,127
213,130
214,135
215,130
216,133
217,135
218,135
219,139
220,131
221,138
222,134
223,135
224,133
225,136
226,138
227,139
228,137
229,138
230,135
231,135
232,134
233,134
234,134
235,134
236,134
237,134
238,134
239,134
240,134
241,134
242,134
243,134
244,134
245,134
246,134
247,134
248,134
249,134
250,134
251,134
252,134
253,134
254,134
255,134
256,134
257,134
258,134
259,134
260,134
261,134
262,134
263,134
264,134
265,134
266,134
267,134
268,134
269,134
270,134
271,134
272,134
273,134
274,134
275,134
276,134
277,134
278,134
279,134
280,134
281,134
282,134
283,134
284,134
285,134
286,134
287,134
288,134
289,134
290,134
291,134
292,134
293,134
294,134
295,134
296,134
297,134
298,134
299,134
300,134
301,134
302,134
303,134
304,134
305,134
306,134
307,134
308,134
309,134
310,134
311,134
312,134
313,134
314,134
315,134
316,134
317,134
318,134
319,134
320,134
321,134
322,134
323,134
324,134
325,134
326,134
327,134
328,134
329,134
330,134
331,134
332,134
333,134
334,134
335,134
336,134
337,134
338,134
339,134
340,134
341,134
342,134
343,134
344,134
345,134
346,134
347,134
348,134
349,134
350,134
351,134
352,134
353,134
354,134
355,134
356,134
357,134
358,134
359,134
360,134
361,134
362,134
363,134
364,134
365,134
366,134
367,134
368,134
369,134
370,134
371,134
372,134
373,134
374,134
375,134
376,134
377,134
378,134
379,134
380,134
381,134
382,134
383,134
384,134
385,134
386,134
387,134
388,134
389,134
390,134
391,134
392,134
393,134
394,134
395,134
396,134
397,134
398,134
399,134
400,134
401,134
402,134
403,134
404,134
405,134
406,134
407,134
408,134
409,134
410,134
411,134
412,134
413,134
414,134
415,134
416,134
417,134
418,134
419,134
420,134
421,134
422,134
423,134
424,134
425,134
426,134
427,134
428,134
429,134
430,134
431,134
432,134
433,134
434,134
435,134
436,134
437,134
438,134
439,134
440,134
441,134
442,134
443,134
444,134
445,134
446,134
447,134
448,134
449,134
450,134
451,134
452,134
453,134
454,134
455,134
456,134
457,134
458,134
459,134
460,134
461,134
462,134
463,134
464,134
465,134
466,134
467,134
468,134
469,134
470,134
471,134
472,134
473,134
