Frame,AverageAliveNeighbours
0,0.3025777777777778
1,0.07964444444444445
2,0.08533333333333333
3,0.06506666666666666
4,0.07217777777777777
5,0.0632888888888889
6,0.061511111111111114
7,0.055822222222222224
8,0.05937777777777778
9,0.060088888888888886
10,0.06684444444444444
11,0.06684444444444444
12,0.0704
13,0.07715555555555556
14,0.07964444444444445
15,0.08284444444444444
16,0.08497777777777778
17,0.08817777777777777
18,0.08924444444444445
19,0.096
20,0.09102222222222223
21,0.08995555555555555
22,0.08071111111111111
23,0.08568888888888888
24,0.08248888888888889
25,0.09706666666666666
26,0.0864
27,0.09635555555555556
28,0.09884444444444444
29,0.09137777777777778
30,0.08711111111111111
31,0.07395555555555555
32,0.07608888888888889
33,0.0864
34,0.08853333333333334
35,0.0864
36,0.08782222222222222
37,0.08675555555555556
38,0.09991111111111112
39,0.08888888888888889
40,0.10026666666666667
41,0.09671111111111111
42,0.09457777777777777
43,0.09386666666666667
44,0.096
45,0.09884444444444444
46,0.10524444444444445
47,0.1088
48,0.11875555555555556
49,0.10524444444444445
50,0.11271111111111111
51,0.10204444444444444
52,0.11555555555555555
53,0.10453333333333334
54,0.10808888888888889
55,0.10133333333333333
56,0.1024
57,0.09777777777777778
58,0.11164444444444445
59,0.10311111111111111
60,0.10311111111111111
61,0.10702222222222223
62,0.10382222222222222
63,0.10702222222222223
64,0.10346666666666667
65,0.09955555555555555
66,0.10097777777777778
67,0.1024
68,0.10311111111111111
69,0.096
70,0.0992
71,0.09635555555555556
72,0.09813333333333334
73,0.0992
74,0.08888888888888889
75,0.0896
76,0.09102222222222223
77,0.0903111111111111
78,0.09493333333333333
79,0.10524444444444445
80,0.10382222222222222
81,0.10275555555555556
82,0.1088
83,0.10844444444444444
84,0.1024
85,0.10062222222222222
86,0.1063111111111111
87,0.10595555555555555
88,0.11342222222222222
89,0.11946666666666667
90,0.1112888888888889
91,0.112
92,0.11093333333333333
93,0.1088
94,0.10524444444444445
95,0.11057777777777777
96,0.11164444444444445
97,0.11697777777777778
98,0.11484444444444444
99,0.12373333333333333
100,0.11911111111111111
101,0.11768888888888888
102,0.128
103,0.12195555555555555
104,0.11306666666666666
105,0.11804444444444444
106,0.11022222222222222
107,0.11377777777777778
108,0.1063111111111111
109,0.10311111111111111
110,0.1063111111111111
111,0.09991111111111112
112,0.10133333333333333
113,0.1024
114,0.09955555555555555
115,0.09493333333333333
116,0.096
117,0.09742222222222222
118,0.10062222222222222
119,0.09742222222222222
120,0.09706666666666666
121,0.09386666666666667
122,0.09777777777777778
123,0.10133333333333333
124,0.10133333333333333
125,0.10097777777777778
126,0.1063111111111111
127,0.1024
128,0.10808888888888889
129,0.10382222222222222
130,0.11022222222222222
131,0.10951111111111111
132,0.10168888888888888
133,0.10204444444444444
134,0.09351111111111111
135,0.10204444444444444
136,0.09884444444444444
137,0.10951111111111111
138,0.10666666666666667
139,0.11093333333333333
140,0.1088
141,0.10951111111111111
142,0.10915555555555556
143,0.11733333333333333
144,0.1152
145,0.12586666666666665
146,0.11057777777777777
147,0.10417777777777777
148,0.09991111111111112
149,0.08995555555555555
150,0.09386666666666667
151,0.08888888888888889
152,0.09457777777777777
153,0.09706666666666666
154,0.09706666666666666
155,0.09813333333333334
156,0.09706666666666666
157,0.09955555555555555
158,0.09137777777777778
159,0.09671111111111111
160,0.09813333333333334
161,0.09991111111111112
162,0.11342222222222222
163,0.10524444444444445
164,0.10595555555555555
165,0.1112888888888889
166,0.11911111111111111
167,0.10915555555555556
168,0.11093333333333333
169,0.10844444444444444
170,0.11306666666666666
171,0.11057777777777777
172,0.11093333333333333
173,0.10773333333333333
174,0.10844444444444444
175,0.10666666666666667
176,0.10915555555555556
177,0.10488888888888889
178,0.10382222222222222
179,0.10097777777777778
180,0.10488888888888889
181,0.10702222222222223
182,0.11591111111111112
183,0.11342222222222222
184,0.10844444444444444
185,0.12017777777777777
186,0.10702222222222223
187,0.12088888888888889
188,0.11093333333333333
189,0.12408888888888889
190,0.11413333333333334
191,0.11768888888888888
192,0.11733333333333333
193,0.1088
194,0.11697777777777778
195,0.1152
196,0.1152
197,0.12302222222222223
198,0.11804444444444444
199,0.12053333333333334
200,0.11235555555555556
201,0.11306666666666666
202,0.11555555555555555
203,0.11982222222222222
204,0.11591111111111112
205,0.12124444444444445
206,0.11804444444444444
207,0.1184
208,0.11306666666666666
209,0.1287111111111111
210,0.11875555555555556
211,0.11911111111111111
212,0.11164444444444445
213,0.11555555555555555
214,0.10951111111111111
215,0.10915555555555556
216,0.11271111111111111
217,0.1216
218,0.11377777777777778
219,0.11413333333333334
220,0.11946666666666667
221,0.11662222222222222
222,0.11448888888888889
223,0.12515555555555555
224,0.11875555555555556
225,0.11804444444444444
226,0.1088
227,0.11662222222222222
228,0.1112888888888889
229,0.1184
230,0.10808888888888889
231,0.11093333333333333
232,0.10737777777777778
233,0.11555555555555555
234,0.11306666666666666
235,0.112
236,0.1088
237,0.10808888888888889
238,0.10488888888888889
239,0.11306666666666666
240,0.09991111111111112
241,0.1063111111111111
242,0.11377777777777778
243,0.10417777777777777
244,0.09884444444444444
245,0.09493333333333333
246,0.09173333333333333
247,0.0896
248,0.09137777777777778
249,0.09671111111111111
250,0.09635555555555556
251,0.0903111111111111
252,0.09493333333333333
253,0.09208888888888889
254,0.09457777777777777
255,0.09315555555555556
256,0.09777777777777778
257,0.09991111111111112
258,0.09742222222222222
259,0.10453333333333334
260,0.10915555555555556
261,0.0992
262,0.10844444444444444
263,0.0992
264,0.10986666666666667
265,0.10097777777777778
266,0.11306666666666666
267,0.11768888888888888
268,0.11626666666666667
269,0.12266666666666666
270,0.12693333333333334
271,0.11697777777777778
272,0.11555555555555555
273,0.1248
274,0.1112888888888889
275,0.11591111111111112
276,0.10844444444444444
277,0.11377777777777778
278,0.10524444444444445
279,0.10488888888888889
280,0.1056
281,0.1056
282,0.11591111111111112
283,0.10844444444444444
284,0.10844444444444444
285,0.09635555555555556
286,0.10275555555555556
287,0.10417777777777777
288,0.10097777777777778
289,0.09671111111111111
290,0.08817777777777777
291,0.09457777777777777
292,0.09102222222222223
293,0.09102222222222223
294,0.09706666666666666
295,0.10062222222222222
296,0.10026666666666667
297,0.10702222222222223
298,0.11022222222222222
299,0.10844444444444444
300,0.112
301,0.1112888888888889
302,0.11057777777777777
303,0.10204444444444444
304,0.1056
305,0.10524444444444445
306,0.11555555555555555
307,0.11377777777777778
308,0.11662222222222222
309,0.1112888888888889
310,0.11697777777777778
311,0.11484444444444444
312,0.11413333333333334
313,0.12124444444444445
314,0.12088888888888889
315,0.12444444444444444
316,0.1287111111111111
317,0.1287111111111111
318,0.1344
319,0.1383111111111111
320,0.15644444444444444
321,0.1496888888888889
322,0.14755555555555555
323,0.14542222222222223
324,0.15146666666666667
